ABR,RPKM,Group
MLS23S,114.996665,Control
RRSA,105.497605,Control
O23S,117.25506,Control
A16S,55.1870293,Control
TET16S,52.9759785,Control
LMRD,0,Control
ANT6,3.16722532,Control
TETW,6.21872828,Control
TUFAB,0,Control
TET40,1.22938561,Control
Other,9.99620046,Control
MLS23S,102.975043,GWI
RRSA,98.9472717,GWI
O23S,85.2487098,GWI
A16S,59.7398425,GWI
TET16S,31.6601477,GWI
LMRD,0,GWI
ANT6,2.8413698,GWI
TETW,0.82042855,GWI
TUFAB,0,GWI
TET40,2.77775862,GWI
Other,4.08337461,GWI
MLS23S,717.265114,WD_Control
RRSA,224.297988,WD_Control
O23S,226.022357,WD_Control
A16S,162.583192,WD_Control
TET16S,92.1530031,WD_Control
LMRD,101.227215,WD_Control
ANT6,3.30440464,WD_Control
TETW,2.2072966,WD_Control
TUFAB,4.8230736,WD_Control
TET40,2.42249682,WD_Control
Other,10.66539146,WD_Control
MLS23S,598.542179,WD_GWI
RRSA,143.232353,WD_GWI
O23S,99.8766348,WD_GWI
A16S,97.5742613,WD_GWI
TET16S,63.8378408,WD_GWI
LMRD,61.3211331,WD_GWI
ANT6,5.70495398,WD_GWI
TETW,1.0869947,WD_GWI
TUFAB,4.38007554,WD_GWI
TET40,1.400012,WD_GWI
Other,19.72883574,WD_GWI